Unnamed: 0,reviewId,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
17218,2a071cf4-1089-4b1a-94f0-2efac110d64c,So far so bagus,5,0,2.34.0,2023-01-01 00:05:00,Terima kasih atas ulasannya. Semoga aplikasi BRImo semakin mempermudah transaksi Sobat BRI. Tks~Baron,1/14/2023 9:16
17217,07064385-06d1-4a82-9863-6ebd675618a4,Terima kasih telah memberi kan layanan yang terbaik buat saya.,5,0,2.34.0,2023-01-01 00:08:00,"Terima kasih sudah menggunakan aplikasi BRImo, jangan lupa menggunakan fitur menarik lainnya yang memudahkan Sobat BRI dalam bertransaksi. Tks~Baron",1/14/2023 9:13
17216,a4659ea2-a137-4213-9963-66217f591e24,"Brimo gk bisa masuk, banyak transaksiku gagal Kecewa 😇",1,0,2.35.0,2023-01-01 00:08:00,"Hai Sobat BRI, mohon maaf atas kendala yang dialami. Untuk tindak lanjutnya silahkan kirimkan detail kendala melalui layanan WhatsApp BRI di nomor 08121214017 atau Email callbri@bri.co.id. Tks~Erza",1/1/2023 6:50
17215,68b95053-2118-4334-891e-829c59673896,bagus,5,0,2.35.0,2023-01-01 00:12:00,"Terima kasih sudah menggunakan aplikasi BRImo, jangan lupa menggunakan fitur menarik lainnya yang memudahkan Sobat BRI dalam bertransaksi. Tks~Baron",1/14/2023 9:13
17213,a8108a5b-317c-4d2c-91e4-f59ba2a2f652,"Alhamdulillah, kemudahan dan bermanfaat.",4,0,2.35.0,2023-01-01 00:13:00,"Hai Sobat BRI, semoga aplikasi BRImo semakin mempermudah transaksi, Jika sudah tidak mengalami kendala, kami tunggu bintang 5 dari Sobat BRI. Tks~Erza",1/1/2023 8:08
17214,12aa34f0-c069-4bff-9f03-29bfa1e516ff,bagus,5,0,2.34.0,2023-01-01 00:13:00,"Terima kasih sudah menggunakan aplikasi BRImo, jangan lupa menggunakan fitur menarik lainnya yang memudahkan Sobat BRI dalam bertransaksi. Tks~Baron",1/14/2023 9:13
17212,db4aceda-dd89-4665-9c3f-4e7995e1564c,Mantap,5,0,2.30.0,2023-01-01 00:13:00,"Terima kasih sudah menggunakan aplikasi BRImo, jangan lupa menggunakan fitur menarik lainnya yang memudahkan Sobat BRI dalam bertransaksi. Tks~Baron",1/14/2023 9:13
17211,59c84750-9ef6-4bae-b4d2-9f6923e55d5d,Dengan adanya Brimo sangat membantu sekali😎,5,0,2.35.0,2023-01-01 00:15:00,"Terima kasih sudah menggunakan aplikasi BRImo, jangan lupa menggunakan fitur menarik lainnya yang memudahkan Sobat BRI dalam bertransaksi. Tks~Baron",1/14/2023 9:13
17210,b8bd8b42-2b8a-4786-8b35-53ce31461d0e,Sangat membantu,5,0,2.34.0,2023-01-01 00:16:00,"Terima kasih sudah menggunakan aplikasi BRImo, jangan lupa menggunakan fitur menarik lainnya yang memudahkan Sobat BRI dalam bertransaksi. Tks~Baron",1/14/2023 9:13
17209,93f0efa5-02f8-4b94-b7b9-e0ae926c03be,Sangat bagus,5,0,2.34.0,2023-01-01 00:20:00,"Terima kasih sudah menggunakan aplikasi BRImo, jangan lupa menggunakan fitur menarik lainnya yang memudahkan Sobat BRI dalam bertransaksi. Tks~Baron",1/14/2023 9:13
17207,60e174ce-12f5-46f0-a1bf-56ba286a790e,Sangat bagus,5,0,2.35.0,2023-01-01 00:23:00,"Terima kasih sudah menggunakan aplikasi BRImo, jangan lupa menggunakan fitur menarik lainnya yang memudahkan Sobat BRI dalam bertransaksi. Tks~Baron",1/14/2023 9:13
17208,b17cc031-bebe-47a9-b29a-5cc5d9de48a1,Terbaik,5,0,2.35.0,2023-01-01 00:23:00,"Terima kasih sudah menggunakan aplikasi BRImo, jangan lupa menggunakan fitur menarik lainnya yang memudahkan Sobat BRI dalam bertransaksi. Tks~Baron",1/14/2023 9:13
17206,c349b9d8-5fc0-41e7-9914-ff246662824c,👍👍 bagus,5,0,2.35.0,2023-01-01 00:24:00,"
Hai Sobat BRI, apabila mengalami kendala, dapat diinformasikan respon gagal dalam bentuk gambar melalui WhatsApp 08121214017 atau Email callbri@bri.co.id. Apabila Sobat BRI dapat menggunakan BRImo dengan lancar, kami tunggu bintang 5 dari Sobat BRI. Tks~Lena",12/25/2022 4:09
17205,7cdc3702-216a-4c00-aea8-b8108718728b,cc,5,0,2.35.0,2023-01-01 00:26:00,"Terima kasih sudah menggunakan aplikasi BRImo, jangan lupa menggunakan fitur menarik lainnya yang memudahkan Sobat BRI dalam bertransaksi. Tks~Baron",1/14/2023 9:13
17203,83cdf7d3-4e22-4037-b149-239d4e0564da,"Sangat bagus,,.",5,0,2.35.0,2023-01-01 00:28:00,Terima kasih atas ulasannya. Semoga aplikasi BRImo semakin mempermudah transaksi Sobat BRI. Tks~Baron,1/14/2023 9:06
17204,5477e14e-f8f4-468c-a9c1-f33f31c45b52,Memudahkan dalam segala hall,5,0,2.34.0,2023-01-01 00:28:00,Terima kasih atas ulasannya. Semoga aplikasi BRImo semakin mempermudah transaksi Sobat BRI. Tks~Baron,1/14/2023 9:06
17201,b148d6b5-7978-451d-b2bd-25d81e396434,"Bugs dimana-mana terutama di android 12, Login harus 2x, login pertama auto keluar, QRIS nge-lag alias force stop, Saldo sering tidak muncul (gagal memuat data), Tarik tunai tanpa atm lemot nungguin dimesin 15 menit lebih ga keluar-keluar, Catatan keuangan ngerecord pengeluaran doang dan pemasukan nya engga, cek profil seringnya (gagal memuat data), Mohon banget pihak BRI untuk memperbaiki sistem nya dulu biar nasabah lebih percaya!",1,4,2.34.0,2023-01-01 00:31:00,"Hai Sobat BRI, mohon maaf atas kendala yang dialami. Untuk tindak lanjutnya silahkan kirimkan detail kendala melalui layanan WhatsApp BRI di nomor 08121214017 atau Email callbri@bri.co.id. Tks~Erza",1/1/2023 6:48
17202,dd2ec426-bb4d-4408-8243-c7bb37dee768,Punyaku kbagus tiba tiba bukti transaksi ngak muncul yaa Tolong dong bantu,3,0,2.34.0,2023-01-01 00:31:00,"Hai Sobat BRI, mohon maaf atas kendala yang dialami. Untuk tindak lanjutnya silahkan kirimkan detail kendala melalui layanan WhatsApp BRI di nomor 08121214017 atau Email callbri@bri.co.id. Tks~Erza",1/1/2023 7:38
17200,2ba9db1f-fbaa-45a2-ac61-06bccac65fb9,Sangat membantu dan memudahkan segala transaksi.,5,0,,2023-01-01 00:32:00,Terima kasih atas ulasannya. Semoga aplikasi BRImo semakin mempermudah transaksi Sobat BRI. Tks~Baron,1/14/2023 9:05
17199,242c4085-0fc0-4a0b-836a-8af1992c7fc9,"Keren, simple & fungsional.",5,0,2.34.0,2023-01-01 00:34:00,Terima kasih atas ulasannya. Semoga aplikasi BRImo semakin mempermudah transaksi Sobat BRI. Tks~Baron,1/14/2023 9:05
17198,3f679c93-f4c2-43bc-87d1-220d8fca8db2,Trims brimo sangat puas dan sangat terbantu utk segala transaksi,5,0,2.34.0,2023-01-01 00:35:00,Terima kasih atas ulasannya. Semoga aplikasi BRImo semakin mempermudah transaksi Sobat BRI. Tks~Baron,1/14/2023 9:05
17197,302a35c4-6044-4879-841c-41a13dbcda5e,Praktis banyak fitur bermanfaat seperti isi pulsa dll,5,0,,2023-01-01 00:42:00,Terima kasih atas ulasannya. Semoga aplikasi BRImo semakin mempermudah transaksi Sobat BRI. Tks~Baron,1/14/2023 9:05
